brand,colour,model,mrp,name,price,sizes,symbol
 RedTape, NAVY BLUE , RSO0844A,5799.0,RedTape Men Navy Blue Walking Shoes,1739.0,11,₹
 RedTape, GREEN , RSO0846A,5799.0,RedTape Men Green Walking Shoes,1739.0,11,₹
 RedTape, TAN, RTS11673D,5999.0,RedTape Men Tan Loafers,1799.0,"7,8,9,10",₹
 RedTape, MULTI, RFF0533,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0544,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0528,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0514,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, BLUE, RFF0444,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0551,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MAROON , RFF0452,499.0,"Men's maroon sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0481,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, GREEN , RFF0468,499.0,"Men's green sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, BLACK, RFF0471,499.0,"Men's black sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0491,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, MULTI, RFF0501,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10",₹
 RedTape, BLACK, RFF0421,499.0,"Men's black sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0414,499.0,"Men's navy sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, GREY , RFF0438,499.0,"Men's grey sliders,flip flops",149.0,"6,7,8,9,10",₹
