product_url,product_brand,product_name,gender,heel_type,occasion,type,product_price,currency_symbol,product_sizes,size_country,product_colors
https://www.metroshoes.com/davinchi-75-1023-peach-casual-ballerinas.html,Davinchi,Pink Casual Ballerinas,Women,Flats,Casual,Ballerinas,2990.0,Rs,"3,4,5,6,7,8",UK,"black,beige,peach"
https://www.metroshoes.com/metro-31-211-black-formal-sandals.html,Metro,Black Formal Sandals,Women,Block,Formal,Sandals,2490.0,Rs,"3,4,5,6,7,8",UK,"black,off"
https://www.metroshoes.com/metro-31-79-maroon-casual-loafers.html,Metro,Maroon Casual Loafers,Women,Flats,Casual,Loafers,2990.0,Rs,"3,4,5,6,7,8",UK,"grey,tan,maroon"
https://www.metroshoes.com/metro-56-4230-navy-blue-casual-ballerinas.html,Metro,Blue Casual Ballerinas,Girls,Flats,Casual,Ballerinas,1490.0,Rs,"1,2,3,12,13",UK,navy
https://www.metroshoes.com/activ-336-502-black-grey-casual-sneakers.html,Activ,Black Casual Sneakers,Boys,Flats,Casual,Sneakers,1499.0,Rs,"5,6,7,8,9,10",UK,"peach,black,blue"
https://www.metroshoes.com/fitflop-338-21-black-casual-slippers.html,Fitflop,TRAKK II-Leather Flip Flops,Men,Flats,Casual,Slippers,7499.0,Rs,"6,7,8,9,10,11",UK,"black,tan,blue,khaki,light"
https://www.metroshoes.com/metro-44-571-brown-casual-comfort.html,Metro,Brown Casual Comfort,Women,Wedges,Casual,Comfort,1990.0,Rs,"3,4,5,6,7,8",UK,"black,brown,blue,green"
https://www.metroshoes.com/metro-32-1769-white-ethnic-kolhapuris.html,Metro,White Ethnic Kolhapuris,Women,Block,Ethnic,Kolhapuris,1990.0,Rs,"3,4,5,6,7,8",UK,"white,light"
https://www.metroshoes.com/metro-16-217-brown-casual-slippers.html,Metro,Brown Casual Slippers,Men,Flats,Casual,Slippers,2290.0,Rs,"6,7,8,9,10,11",UK,"black,brown,white"
https://www.metroshoes.com/metro-19-6671-black-formal-moccasin.html,Metro,Black Formal Moccasin,Men,Regular,Formal,Moccasin,3290.0,Rs,"6,7,8,9,10,11",UK,"black,brown"
https://www.metroshoes.com/fitflop-338-239-brown-casual-slippers.html,Fitflop,GOGH MOC-Embossed-Leather Slides,Men,Flats,Casual,Slippers,8999.0,Rs,"7,8,9,10,11",UK,brown
https://www.metroshoes.com/metro-32-1300-tan-casual-slippers.html,Metro,Tan Casual Slippers,Women,Flats,Casual,Slippers,1490.0,Rs,"3,4,5,6,7,8",UK,"black,white,tan,purple,yellow,light,light"
https://www.metroshoes.com/mardi-gras-80-6402-tan-casual-slippers.html,Mardi Gras,Tan Casual Slippers,Men,Regular,Casual,Slippers,2299.0,Rs,"6,7,8,9,10,11",US,tan
https://www.metroshoes.com/metro-18-34-white-ethnic-slip-ons.html,Metro,White Ethnic Slip Ons,Men,Flats,Ethnic,Slip Ons,2690.0,Rs,"6,7,8,9,10,11",UK,"white,beige,tan,wine"
https://www.metroshoes.com/metro-71-59-black-casual-loafers.html,Metro,Metro Black Casual Loafers,Men,Flats,Casual,Loafers,4490.0,Rs,"6,7,8,9,10,11",UK,"black,brown,white"
https://www.metroshoes.com/davinchi-14-1534-brown-casual-loafers.html,Davinchi,Brown Casual Loafers,Men,Regular,Casual,Loafers,14990.0,Rs,"6,7,8,9,10,11",UK,"black,brown"
https://www.metroshoes.com/metro-32-1756-tan-casual-slippers.html,Metro,Tan Casual Slippers,Women,Flats,Casual,Slippers,1990.0,Rs,"3,4,5,6,7,8",UK,"black,white,green,tan,orange"
https://www.metroshoes.com/metro-57-5-red-casual-sandals.html,Metro,Red Casual Sandals,Girls,Flats,Casual,Sandals,1690.0,Rs,"7,8,9,10,11,12",UK,"red,light"
https://www.metroshoes.com/metro-18-1592-off-white-casual-sandals.html,Metro,Off/White Casual Sandals,Men,Flats,Casual,Sandals,3990.0,Rs,"6,7,8,9,10,11",UK,"tan,wine,off"
https://www.metroshoes.com/activ-328-1123-grey-casual-sneakers.html,Activ,Grey Casual Sneakers,Women,Flats,Casual,Sneakers,2499.0,Rs,"3,4,5,6,7,8",UK,"grey,navy"
https://www.metroshoes.com/fitflop-338-285-black-casual-slippers.html,Fitflop,CAMERON EMBOSSED SLIDES-Slide Sandal,Men,Flats,Casual,Slippers,8999.0,Rs,"7,8,9,10,11",UK,black
https://www.metroshoes.com/metro-19-6828-light-brown-formal-derby.html,Metro,Brown Formal Derby,Men,Regular,Formal,Derby,3990.0,Rs,"6,7,8,9,10,11",UK,"black,light"
https://www.metroshoes.com/metro-34-9959-green-casual-sandals.html,Metro,Green Casual Sandals,Women,Block,Casual,Sandals,2290.0,Rs,"3,4,5,6,7,8",UK,"black,beige,green"
https://www.metroshoes.com/metro-19-6393-black-formal-oxford.html,Metro,Black Formal Oxford,Men,Regular,Formal,Oxford,3990.0,Rs,"6,7,8,9,10,11",UK,"black,tan"
https://www.metroshoes.com/metro-31-72-blue-casual-loafers.html,Metro,Blue Casual Loafers,Women,Flats,Casual,Loafers,2690.0,Rs,"3,4,5,6,7,8",UK,"grey,blue,peach"
https://www.metroshoes.com/princess-54-4790-antique-gold-party-slip-ons.html,Princess,Yellow Party Slip Ons,Women,Block,Party,Slip Ons,3690.0,Rs,"3,4,5,6,7,8",UK,antique
https://www.metroshoes.com/davinchi-60-1288-black-casual-slip-ons.html,Davinchi,Black Casual Slip Ons,Men,Flats,Casual,Slip Ons,4990.0,Rs,"6,7,8,9,10,11",UK,"black,tan"
https://www.metroshoes.com/metro-35-2244-green-party-slippers.html,Metro,Metro Green Party Slippers,Women,Block,Party,Slippers,1990.0,Rs,"3,4,5,6,7,8",UK,"black,antique,green"
https://www.metroshoes.com/davinchi-60-1198-black-casual-sandals.html,Davinchi,Black Casual Sandals,Men,Flats,Casual,Sandals,3990.0,Rs,"6,7,8,9,10,11",UK,"black,tan"
https://www.metroshoes.com/activ-336-503-light-grey-casual-sneakers.html,Activ,Grey Casual Sneakers,Boys,Flats,Casual,Sneakers,1299.0,Rs,"1,2,3,5,11,12,13",UK,light
https://www.metroshoes.com/metro-46-5526-tan-casual-sneakers.html,Metro,Tan Casual Sneakers,Boys,Flats,Casual,Sneakers,1290.0,Rs,"7,8,9,10,11,12",UK,"tan,blue"
https://www.metroshoes.com/metro-18-981-black-ethnic-jutis.html,Metro,Black Ethnic Jutis,Men,Flats,Ethnic,Jutis,3290.0,Rs,"6,7,8,9,10,11",UK,"black,brown,tan,maroon"
